FID,borocode,boroname,countyfips,ntacode,ntaname,shape_area,shape_leng
46,4.000000000000000,Queens,081,QN02,Springfield Gardens North,28428437.679099999368191,25433.582833600001322
47,3.000000000000000,Brooklyn,047,BK50,Canarsie,82015446.670000001788139,43701.791058399998292
48,2.000000000000000,Bronx,005,BX43,Norwood,15708884.413799999281764,22148.645112599999266
49,1.000000000000000,Manhattan,061,MN06,Manhattanville,10647077.694099999964237,17040.685730699999112
50,1.000000000000000,Manhattan,061,MN23,West Village,25000526.032099999487400,29385.030625200000941
51,5.000000000000000,Staten Island,085,SI14,Grasmere-Arrochar-Ft. Wadsworth,40946383.451999999582767,40056.712725899997167
52,4.000000000000000,Queens,081,QN34,Queens Village,69533432.846799999475479,41782.400365200002852
53,1.000000000000000,Manhattan,061,MN27,Chinatown,14501953.104000000283122,20788.888972299999296
54,2.000000000000000,Bronx,005,BX10,Pelham Bay-Country Club-City Island,40248130.522699996829033,139408.564884999999776
55,2.000000000000000,Bronx,005,BX62,Woodlawn-Wakefield,39744928.422100000083447,38709.078975099997479
56,4.000000000000000,Queens,081,QN71,Old Astoria,15621238.634700000286102,19335.566679700001259
57,4.000000000000000,Queens,081,QN70,Astoria,39334264.484300002455711,32530.694965899998351
58,1.000000000000000,Manhattan,061,MN50,Stuyvesant Town-Cooper Village,5575232.225410000421107,11000.158745099999578
59,3.000000000000000,Brooklyn,047,BK30,Dyker Heights,29908238.233300000429153,30562.583505400001741
60,3.000000000000000,Brooklyn,047,BK28,Bensonhurst West,46666292.786700002849102,37136.963251699999091
61,5.000000000000000,Staten Island,085,SI22,West New Brighton-New Brighton-St. George,56064920.515799999237061,67956.505825200001709
62,5.000000000000000,Staten Island,085,SI35,New Brighton-Silver Lake,47140398.505900003015995,30322.523685899999691
63,5.000000000000000,Staten Island,085,SI07,Westerleigh,63293572.279399998486042,41649.917414600000484
64,2.000000000000000,Bronx,005,BX36,University Heights-Morris Heights,21251406.272900000214577,24298.141113199999381
65,4.000000000000000,Queens,081,QN46,Bayside-Bayside Hills,80797536.062299996614456,43014.805330100003630
66,3.000000000000000,Brooklyn,047,BK61,Crown Heights North,51619074.458099998533726,35635.543992799997795
67,2.000000000000000,Bronx,005,BX14,East Concourse-Concourse Village,18232622.292300000786781,27275.792350499999884
68,4.000000000000000,Queens,081,QN26,North Corona,18000867.958599999547005,18431.059379700000136
